Unnamed: 0,date,temperature_2m,relative_humidity_2m,dew_point_2m,apparent_temperature,precipitation,rain,snowfall,snow_depth,weather_code,pressure_msl,surface_pressure,cloud_cover,cloud_cover_low,cloud_cover_mid,cloud_cover_high,et0_fao_evapotranspiration,vapour_pressure_deficit,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,wind_gusts_10m,soil_temperature_0_to_7cm,soil_moisture_0_to_7cm,shortwave_radiation,direct_radiation,diffuse_radiation,direct_normal_irradiance,global_tilted_irradiance,terrestrial_radiation,soil_temperature_7_to_28cm,soil_temperature_28_to_100cm,soil_temperature_100_to_255cm,soil_moisture_7_to_28cm,soil_moisture_28_to_100cm,soil_moisture_100_to_255cm,boundary_layer_height,wet_bulb_temperature_2m,total_column_integrated_water_vapour
0,2001-01-01 00:00:00,2.0,73.0,-2.4,-2.1,0.0,0.0,0.0,0.0,3.0,1021.2,974.2,99.0,0.0,9.0,99.0,0.01,0.2,3.0,5.2,285.0,293.0,4.0,1.2,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.8,5.1,11.0,0.36,0.35,0.31,55.0,-0.3,8.0
1,2001-01-01 01:00:00,1.7,70.0,-3.2,-2.4,0.0,0.0,0.0,0.0,3.0,1021.2,974.2,100.0,0.0,3.0,99.0,0.01,0.2,2.8,5.1,278.0,291.0,3.8,1.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.7,5.1,11.0,0.36,0.35,0.31,60.0,-0.8,7.6
2,2001-01-01 02:00:00,1.2,69.0,-4.0,-2.8,0.0,0.0,0.0,0.0,3.0,1021.4,974.3,99.0,0.0,7.0,98.0,0.01,0.2,2.5,4.9,265.0,283.0,3.7,0.9,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.1,11.0,0.36,0.35,0.31,55.0,-1.3,7.4
3,2001-01-01 03:00:00,0.9,66.0,-4.7,-3.1,0.0,0.0,0.0,0.0,3.0,1021.5,974.3,100.0,0.0,21.0,99.0,0.01,0.2,2.3,4.9,260.0,275.0,3.6,0.9,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.6,5.1,11.0,0.36,0.35,0.31,55.0,-1.8,7.0
4,2001-01-01 04:00:00,0.5,64.0,-5.4,-3.4,0.0,0.0,0.0,0.0,3.0,1022.0,974.7,98.0,0.0,17.0,96.0,0.01,0.2,2.1,4.9,267.0,277.0,3.3,0.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.5,5.1,11.0,0.36,0.35,0.31,55.0,-2.2,6.5
5,2001-01-01 05:00:00,0.4,63.0,-5.7,-3.6,0.0,0.0,0.0,0.0,3.0,1021.9,974.6,99.0,0.0,15.0,99.0,0.01,0.2,2.2,4.6,270.0,271.0,3.3,0.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.1,11.0,0.36,0.35,0.31,50.0,-2.4,6.4
6,2001-01-01 06:00:00,0.7,60.0,-6.1,-3.3,0.0,0.0,0.0,0.0,3.0,1020.4,973.3,99.0,0.0,16.0,98.0,0.02,0.3,2.3,4.8,285.0,278.0,3.3,0.8,0.36,0.0,0.0,0.0,0.0,0.0,0.0,2.4,5.1,11.0,0.36,0.35,0.31,50.0,-2.3,6.6
7,2001-01-01 07:00:00,1.0,58.0,-6.5,-3.1,0.0,0.0,0.0,0.0,3.0,1021.1,974.0,100.0,0.0,34.0,100.0,0.02,0.3,2.2,3.5,309.0,283.0,3.3,0.7,0.35,0.0,0.0,0.0,0.0,0.0,0.0,2.3,5.1,11.0,0.36,0.35,0.31,35.0,-2.2,6.8
8,2001-01-01 08:00:00,1.5,54.0,-6.9,-2.5,0.0,0.0,0.0,0.0,3.0,1022.1,975.0,100.0,0.0,33.0,100.0,0.04,0.3,2.1,3.3,319.0,281.0,3.4,0.7,0.35,0.0,0.0,0.0,0.0,0.0,1.0,2.3,5.1,11.0,0.36,0.35,0.31,35.0,-2.0,6.9
9,2001-01-01 09:00:00,1.5,57.0,-6.0,-2.3,0.0,0.0,0.0,0.0,3.0,1022.6,975.5,100.0,0.0,41.0,100.0,0.03,0.3,1.6,2.9,322.0,282.0,3.7,0.7,0.35,35.0,2.0,33.0,15.0,35.0,152.0,2.2,5.1,11.0,0.36,0.35,0.31,35.0,-1.8,6.9
10,2001-01-01 10:00:00,3.2,68.0,-2.1,0.1,0.0,0.0,0.0,0.0,3.0,1023.2,976.3,100.0,0.0,68.0,100.0,0.06,0.2,1.5,2.9,298.0,286.0,3.6,0.9,0.35,124.0,10.0,114.0,37.0,124.0,387.0,2.2,5.1,11.0,0.36,0.35,0.31,65.0,0.5,6.9
11,2001-01-01 11:00:00,5.9,42.0,-6.0,2.4,0.0,0.0,0.0,0.0,3.0,1023.4,977.0,100.0,0.0,82.0,100.0,0.1,0.5,1.2,1.8,279.0,283.0,3.6,1.3,0.35,206.0,39.0,167.0,96.0,206.0,573.0,2.2,5.1,11.0,0.36,0.35,0.31,205.0,1.0,6.9
12,2001-01-01 12:00:00,6.8,36.0,-7.2,3.0,0.0,0.0,0.0,0.0,3.0,1022.1,975.9,98.0,0.0,73.0,98.0,0.14,0.6,1.5,1.9,266.0,273.0,4.2,2.8,0.35,278.0,73.0,205.0,148.0,278.0,700.0,2.3,5.1,11.0,0.36,0.35,0.31,645.0,1.3,7.0
13,2001-01-01 13:00:00,7.5,32.0,-8.2,3.5,0.0,0.0,0.0,0.0,3.0,1021.0,974.9,97.0,0.0,83.0,97.0,0.17,0.7,1.8,2.3,261.0,265.0,5.0,4.3,0.35,337.0,106.0,231.0,198.0,337.0,757.0,2.5,5.1,11.0,0.36,0.35,0.31,990.0,1.5,7.2
14,2001-01-01 14:00:00,8.0,30.0,-8.7,3.9,0.0,0.0,0.0,0.0,3.0,1019.4,973.5,98.0,0.0,96.0,97.0,0.19,0.8,1.9,2.4,242.0,246.0,5.9,5.4,0.35,376.0,152.0,224.0,290.0,376.0,742.0,2.7,5.1,11.0,0.36,0.35,0.31,1125.0,1.8,7.1
15,2001-01-01 15:00:00,8.3,31.0,-8.0,4.3,0.0,0.0,0.0,0.0,3.0,1018.6,972.8,100.0,0.0,100.0,99.0,0.16,0.8,1.9,2.4,234.0,237.0,4.9,6.0,0.35,289.0,75.0,214.0,162.0,289.0,655.0,3.0,5.1,11.0,0.36,0.35,0.31,1175.0,2.1,7.3
